tbl,idx,stat
single_mode_difficulty_box,single_mode_difficulty_box_0_box_id,5 1
single_mode_difficulty_box,single_mode_difficulty_box_0_reward_set_id,5 2
single_mode_difficulty_box,sqlite_autoindex_single_mode_difficulty_box_1,5 2 1
single_mode_chara_effect,,43
single_mode_top_bg,single_mode_top_bg_0_scenario_id,222 16
single_mode_top_bg,single_mode_top_bg_0_month_1_scenario_id,222 18 2
race_bgm,race_bgm_0_race_type,622 39
mission_race_equate,mission_race_equate_0_input_id,53 3
collect_raid_master,collect_raid_master_0_individual_reward_set_id,4 1
collect_raid_master,collect_raid_master_0_story_extra_id,4 1
training_report_ratio,training_report_ratio_0_type,3 1
team_building_discount_point,team_building_discount_point_0_team_rank,30 1
campaign_walking_data,campaign_walking_data_0_campaign_id,5 1
mini_face_type_data,sqlite_autoindex_mini_face_type_data_1,36 1
directory,directory_0_rank_level,350 1
directory,directory_0_required_point,350 1
single_mode_09_board,,3
single_mode_cook_message,single_mode_cook_message_0_view_type,4 2
single_mode_sport_sport_type,single_mode_sport_sport_type_0_command_id,15 1
single_mode_sport_sport_type,single_mode_sport_sport_type_0_sport_type,15 5
single_mode_live_square,,269
single_mode_aoharu_cutt_type,single_mode_aoharu_cutt_type_0_chara_type_1_cutt_type,24 4 2
single_mode_aoharu_cutt_type,single_mode_aoharu_cutt_type_0_chara_type,24 4
single_mode_aoharu_cutt_type,single_mode_aoharu_cutt_type_0_cutt_type,24 12
rating_race_condition,,25
gacha_stampsheet_reward,gacha_stampsheet_reward_0_group_id,43 11
collect_event_map_bg_data,,1
ultimate_race_npc,ultimate_race_npc_0_npc_group_id,1961 17
single_mode_09_training_boost,single_mode_09_training_boost_0_boost_set_id,54 18
single_mode_cook_stand_motion,single_mode_cook_stand_motion_0_type_1_condition_type,30 6 1
single_mode_cook_stand_motion,single_mode_cook_stand_motion_0_type_1_chara_id_2_condition_type,30 6 1 1
single_mode_cook_stand_motion,single_mode_cook_stand_motion_0_type_1_chara_id,30 6 1
single_mode_cook_stand_motion,single_mode_cook_stand_motion_0_type,30 6
room_match_training_rank,room_match_training_rank_0_rank,148 1
race_jikkyo_message,race_jikkyo_message_0_comment_group,3249 86
